  <entry n=""> 
  	<note type="occurencesNT"></note>
  	<form><orth></orth></form>
 	<gramGrp><pos></pos></gramGrp>
 	<sense></sense>
 	<sense n="1">1. †</sense>
 	<ref osisRef=""></ref>
 	<foreign xml:lang="grc"></foreign>
 </entry>

Order	LX	Strong	OccurencesNT	Source
2450	ἵστημι	G2476	155	
5358	χάρις	G5485	155	
4286	πρῶτος	G4413	154	
5480	ὤν	G5607	154	KJV
4071	πορεύομαι	G4198	153	
5101	ὑπέρ	G5228	150	
2538	καλέω	G2564	148	
3441	νῦν	G3568	147	
4434	σάρξ	G4561	147	
2167	ἕως	G2193	146	
1500	εἰσί	G1526	145	KJV
1427	ἐγείρω	G1453	144	
3621	ὅστις	G3748	144	
4269	προφήτης	G4396	144	
837	ἀφίημι	G863	143	
3634	οὐδέ	G3761	143	
2172	ζάω	G2198	142	
2965	λαός	G2992	142	
4856	σῶμα	G4983	142	
3698	πάλιν	G3825	141	
5329	φωνή	G5456	139	
1184	δέω	G1210	138	
2544	καλός	G2570	137	
623	ἀποστέλλω	G649	136	
1391	δύο	G1417	135	
2196	ζωή	G2222	135	
2465	Ἰωάννης	G2491	135	
965	βλέπω	G991	132	
255	ἀμήν	G281	129	
3371	νεκρός	G3498	128	
4735	σύν	G4862	128	
539	ἀπέρχομαι	G565	126	
1375	δοῦλος	1401	124	
1485	εἶναι	G1511	124	KJV
3625	ὅταν	G3752	123	
139	αἰών	G165	122	
723	ἀρχιερεύς	G749	122	
880	βάλλω	G906	122	
2223	ἡμεῖς	G2249	121	KJV
2262	θάνατος	G2288	120	
1385	δύναμις	G1411	119	
3733	παραδίδωμι	G3860	119	
3179	μένω	G3306	118	
3618	ὅσος	G3745	118	
2186	ζητέω	G2212	117	
424	ἀνίστημι	G450	115	
909	βασιλεύς	G935	115	
1551	ἐκκλησία	G1577	114	
2372	ἴδιος	G2398	114	
2892	κρίνω	G2919	114	
3497	οἶκος	G3624	114	
3314	μόνος	G3441	112	
573	ἀποθνῄσκω	G599	111	
3523	ὅλος	G3650	111	
199	ἀλήθεια	G225	109	
3168	μέλλω	G3195	109	
3743	παρακαλέω	G3870	109	
4990	τόπος	G5117	109	
1674	ἐμοῦ	G1700	108	KJV
4855	σῴζω	G4982	106	
3626	ὅτε	G3753	103	
5463	ψυχή	G5590	103	
1823	ἐξουσία	G1849	102	
116	αἴρω	G142	101	
3471	ὁδός	G3598	101	
5475	ὧδε	G5602	101	
214	ἀλλήλων	G240	100	
3661	ὀφθαλμός	G3788	100	
4960	τίθημι	G5087	100	
4332	πῶς	G4459	100	
5483	ὥρα	G5610	100	KJV
4916	τέκνον	G5043	99	
2061	ἕτερος	G2087	98	
5203	Φαρισαῖος	G5330	98	
103	αἷμα	G129	97	
714	ἄρτος	G740	97	
1054	γεννάω	G1080	97	
1295	διδάσκω	G1321	97	
5090	ὑπάγω	G5217	97	
1537	ἐκεῖ	G1563	95	
3916	περιπατέω	G4043	95	
1773	ἐνώπιον	G1799	94	
3487	οἰκία	G3614	93	
4101	πούς	G4228	93	
1317	δικαιοσύνη	G1343	92	
1489	εἰρήνη	G1515	92	
2495	κάθημαι	G2521	91	
164	ἀκολουθέω	G190	90	
596	ἀπόλλυμι	G622	90	
2255	θάλασσα	G2281	90	
3240	μηδείς	G3367	90	
3971	πίπτω	G4098	90	
1672	ἐμοί	G1698	90	KJV
5188	φάγω	G5315	90	KJV
5272	φοβέω	G5399	90	KJV
731	ἄρχω	G757	89	
2007	ἑπτά	G2033	88	
2049	ἐστέ	G2075	88	KJV
3650	οὔτε	G3777	87	
5002	τούτῳ	G5129	87	KJV
4010	πληρόω	G4137	86	
4207	προσέρχομαι	G4334	86	
2514	καιρός	G2540	85	
4209	προσεύχομαι	G4336	85	
2478	κἀγώ	G2504	84	
730	ἄρχομαι	G756	84	KJV
275	Ἀμώς	G301	83	
3257	μήτηρ	G3384	83	
5493	ὥστε	G5620	83	
279	ἀναβαίνω	G305	82	
1512	ἕκαστος	G1538	82	
3572	ὅπου	G3699	82	
2063	ἔτι	G2089	82	
1518	ἐκβάλλω	G1544	81	
2571	καταβαίνω	G2597	81	
3096	μᾶλλον	G3123	81	
626	ἀπόστολος	G652	80	
1316	δίκαιος	G1342	79	
3865	πέμπω	G3992	79	
3348	Μωσεύς	G3475	79	KJV
4063	πονηρός	G4190	78	
4623	στόμα	G4750	78	
429	ἀνοίγω	G455	77	
881	βαπτίζω	G907	77	
2393	Ἰερουσαλήμ	G2419	77	
4465	σημεῖον	G4592	77	
1665	ἐμέ	G1691	77	KJV
2072	εὐαγγέλιον	G2098	76	
3113	μαρτυρέω	G3140	76	
4256	πρόσωπον	G4383	76	
5077	ὕδωρ	G5204	76	
1401	δώδεκα	G1427	75	
2749	κεφαλή	G2776	75	
4486	Σίμων	G4613	75	
589	ἀποκτείνω	G615	74	
5336	χαίρω	G5463	74	
3968	πίνω	G4095	73	
5330	φῶς	G5457	73	
5000	τούτου	G5127	72	KJV
140	αἰώνιος	G166	71	
4315	πῦρ	G4442	71	
2020	ἐρέω	G2046	71	KJV
128	αἰτέω	G154	70	
4956	τηρέω	G5083	70	
2448	Ἰσραήλ	G2474	68	
4360	ῥῆμα	G4487	68	
4394	σάββατον	G4521	68	
5013	τρεῖς	G5140	68	
45	ἄγω	G71	67	
1759	ἐντολή	G1785	67	
3976	πιστός	G4103	67	
4016	πλοῖον	G4143	67	
5003	τούτων	G5130	67	KJV
2534	κακῶς	G2560	66	
2564	καρπός	G2590	66	
4118	πρεσβύτερος	G4245	66	
5215	φέρω	G5342	66	
5219	φημί	G5346	66	
1509	εἴτε	G1535	65	
604	ἀπολύω	G630	64	
1096	γραμματεύς	G1122	63	
1114	δαιμόνιον	G1140	63	
1828	ἔξω	G1854	63	
2039	ἐρωτάω	G2065	63	
3608	ὄρος	G3735	63	
1673	ἐμός	G1699	63	KJV
4999	τοῦτον	G5126	63	KJV
1354	δοκέω	G1380	62	
2281	θέλημα	G2307	62	
2336	θρόνος	G2362	62	
2388	Ἱεροσόλυμα	G2414	62	
1	ἀγαπητός	G27	61	
1030	Γαλιλαία	G1056	61	
1366	δοξάζω	G1392	61	
2209	ἤδη	G2235	61	
2757	κηρύσσω	G2784	61	
3444	νύξ	G3571	61	
2414	ἱμάτιον	G2440	60	
4225	προσκυνέω	G4352	60	
5098	ὑπάρχω	G5225	60	
756	ἀσπάζομαι	G782	59	
1294	διδάσκαλος	G1320	59	
2091	εὐθύς	G2117	59	
3010	λίθος	G3037	59	
4736	συνάγω	G4863	59	
5352	χαρά	G5479	59	
2308	θεωρέω	G2334	58	
3192	μέσος	G3319	58	
4981	τοιοῦτος	G5108	57	
1183	δέχομαι	G1209	56	
1879	ἐπερωτάω	G1905	56	
3239	μηδέ	G3366	56	
4737	συναγωγή	G4864	56	
720	ἀρχή	G746	55	
2869	κράζω	G2896	55	
3035	λοιπός	G3062	55	
3036	λοιπός	G3063	55	
3037	λοιπός	G3064	55	
3964	Πιλᾶτος	G4091	55	
5027	τρίτος	G5154	55	
3992	πλείων	G4119	55	KJV
1162	δεξιός	G1188	54	
2071	εὐαγγελίζω	G2097	54	
3653	οὐχί	G3780	54	
5423	χρόνος	G5550	54	
5434	χώρα	G5561	54	
1112	Δαβίδ	G1138	54	KJV
1654	ἐλπίς	G1680	53	
3577	ὅπως	G3704	53	
1834	ἐπαγγελία	G1860	52	
2052	ἔσχατος	G2078	52	
3686	παιδίον	G3813	52	
3855	πείθω	G3982	52	
4098	ποῦ	G4225	52	
4099	ποῦ	G4226	52	
4560	σπείρω	G4687	52	
1326	διό	G1352	52	KJV
4551	σοφία	G4678	51	
2044	ἐσμέν	G2070	51	KJV
1074	γλῶσσα	G1100	50	
1098	γραφή	G1124	50	
3080	μακάριος	G3107	50	
3723	παραβολή	G3850	50	
5058	τυφλός	G5185	50	
2068	ἔτος	G2094	49	
3583	ὀργίζομαι	G3710	49	
3753	παραλαμβάνω	G3880	49	
5192	φανερόω	G5319	49	
5405	χρεία	G5532	49	
565	ἀποδίδωμι	G591	48	
1689	ἔμπροσθεν	G1715	48	
2022	ἔρημος	G2048	48	
242	ἁμαρτωλός	G268	47	
2875	κρατέω	G2902	47	
2893	κρίσις	G2920	47	
3638	οὐκέτι	G3765	47	
4126	πρό	G4253	47	
4247	προσφέρω	G4374	47	
5274	φόβος	G5401	47	
5311	φυλακή	G5438	47	
2316	θηρίον	G2342	46	
2497	καθίζω	G2523	46	
3271	μικρός	G3398	46	
3358	ναός	G3485	46	
3632	οὐαί	G3759	46	
4590	σταυρόω	G4717	46	
4864	σωτηρία	G4991	46	
2530	κακός	G2556	46	KJV
492	ἀπαγγέλλω	G518	45	
1351	διώκω	G1377	45	
2321	θλῖψις	G2347	45	
2423	Ἰουδαία	G2449	45	
3537	ὅμοιος	G3664	45	
204	ἀληθῶς	G230	44	
628	ἀποστρέφω	G654	44	
865	ἄχρι	G891	44	
1895	ἐπιγινώσκω	G1921	44	
2387	ἱερός	G2413	44	
2429	Ἰούδας	G2455	44	
2703	κατοικέω	G2730	44	
238	ἁμαρτάνω	G264	43	
1048	γενεά	G1074	43	
1182	δεύτερος	G1208	43	
1304	διέρχομαι	G1330	43	
2238	Ἡρῴδης	G2264	43	
2270	θαυμάζω	G2296	43	
2297	θεραπεύω	G2323	43	
4379	ῥύομαι	G4506	43	
4445	σεαυτοῦ	G4572	43	
4563	σπέρμα	G4690	43	
5328	φωνέω	G5455	43	
360	ἀνάστασις	G386	42	
1422	ἐγγίζω	G1448	42	
2359	Ἰάκωβος	G2385	42	
2511	καινός	G2537	42	
3062	λύω	G3089	42	
3186	μέρος	G3313	42	
3831	πάσχω	G3958	42	
488	ἄξιος	G514	41	
2101	εὐλογέω	G2127	41	
3715	πάντοτε	G3842	41	
3809	παρίστημι	G3936	41	
4467	σήμερον	G4594	41	
4937	τέσσαρες	G5064	41	
4965	τιμή	G5092	41	
5438	χωρίς	G5565	41	
2064	ἑτοιμάζω	G2090	40	
2348	θύρα	G2374	40	
2772	κλαίω	G2799	40	
3022	λογίζομαι	G3049	40	
3277	μισέω	G3404	40	
3292	μνημεῖον	G3419	40	
3491	οἰκοδομέω	G3618	40	
3514	ὀλίγος	G3641	40	
4929	τέλος	G5056	40	
655	ἅπτω	G681	39	
1318	δικαιόω	G1344	39	
1981	ἐπιτίθημι	G2007	39	
2399	ἱκανός	G2425	39	
3925	περισσεύω	G4052	39	
3978	πλανάω	G4105	39	
4111	πράσσω	G4238	39	
4136	πρόβατον	G4263	39	
1913	ἐπιθυμία	G1939	38	
2142	εὐχαριστέω	G2168	38	
3169	μέλος	G3196	38	
3858	πειράζω	G3985	38	
3875	πέντε	G4002	38	
5166	ὑποτάσσω	G5293	38	
42	ἀγρός	G68	37	
732	ἄρχων	G758	37	
988	βούλομαι	G1014	37	
1221	διακονέω	G1247	37	
1657	ἐμαυτοῦ	G1683	37	
2717	καυχάομαι	G2744	37	
3114	μαρτυρία	G3141	37	
3727	παραγίνομαι	G3854	37	
2012	ἐργάζομαι	G2038	37	KJV
711	ἄρτι	G737	36	
1968	ἐπιστρέφω	G1994	36	
2086	εὐθέως	G2112	36	
3582	ὀργή	G3709	36	
3648	οὖς	G3775	36	
3934	περιτομή	G4061	36	
4208	προσευχή	G4335	36	
4440	Σατανᾶς	G4567	36	
5249	Φίλιππος	G5376	36	
5491	ὥσπερ	G5618	36	
2547	καλῶς	G2573	36	
1202	διάβολος	G1228	35	
2475	Ἰωσήφ	G2501	35	
3117	μάρτυς	G3144	35	
3567	ὀπίσω	G3694	35	
3657	ὀφείλω	G3784	35	
5163	ὑποστρέφω	G5290	35	KJV
511	ἅπας	G537	34	
949	βιβλίον	G975	34	
961	βλασφημέω	G987	34	
1222	διακονία	G1248	34	
3213	μετανοέω	G3340	34	
3256	μήτε	G3383	34	
3504	οἶνος	G3631	34	
4307	πτωχός	G4434	34	
694	ἀρνέομαι	G720	33	
744	ἀσθενέω	G770	33	
1140	δείκνυμι	G1166	33	
1216	διαθήκη	G1242	33	
1581	ἐκπορεύομαι	G1607	33	
3356	ναί	G3483	33	
4042	ποῖος	G4169	33	
654	ἅπτομαι	G680	33	KJV
143	ἀκάθαρτος	G169	32	
288	ἀναγινώσκω	G314	32	
1389	δυνατός	G1415	32	
2164	ἐχθρός	G2190	32	
2220	ἥλιος	G2246	32	
3726	παραγγέλλω	G3853	32	
5154	ὑπομονή	G5281	32	
1915	ἐπικαλέομαι	G1941	32	KJV
391	ἄνεμος	G417	31	
1425	ἐγγύς	G1451	31	
1653	ἐλπίζω	G1679	31	
1806	ἔξεστι	G1832	31	
2383	ἱερεύς	G2409	31	
2485	καθαρίζω	G2511	31	
3827	παρρησία	G3954	31	
4001	πλῆθος	G4128	31	
4006	πλήν	G4133	31	
4094	ποτήριον	G4221	31	
4528	σκότος	G4655	31	
5189	φαίνω	G5316	31	
5315	φυλάσσω	G5442	31	
5316	φυλή	G5443	31	
33	ἀγοράζω	G59	30	
695	ἀρνίον	G721	30	
1296	διδαχή	G1322	30	
2385	ἱερόν	G2411	30	
3533	ὀμνύω	G3660	30	
3541	ὁμοίως	G3668	30	
4766	συνείδησις	G4893	30	
4778	συνέρχομαι	G4905	30	
1082	γνῶσις	G1108	29	
1223	διάκονος	G1249	29	
1982	ἐπιτιμάω	G2008	29	
2217	Ἠλίας	G2243	29	
2452	ἰσχυρός	G2478	29	
2515	Καῖσαρ	G2541	29	
3135	μάχαιρα	G3162	29	
3281	μισθός	G3408	29	
3747	παράκλησις	G3874	29	
3801	παρέρχομαι	G3928	29	
3830	πάσχα	G3957	29	
4032	πόθεν	G4159	29	
4091	ποτέ	G4218	29	
4214	προσκαλέομαι	G4341	29	
4497	σκανδαλίζω	G4624	29	
5216	φεύγω	G5343	29	
5257	φίλος	G5384	29	
2370	ἴδε	G2396	29	
11	ἁγιάζω	G37	28	
65	ἀδικέω	G91	28	
202	ἀληθινός	G228	28	
895	Βαρναβᾶς	G921	28	
1034	γαμέω	G1060	28	
2207	ἡγέομαι	G2233	28	
2338	θυγάτηρ	G2364	28	
2352	θυσία	G2378	28	
2454	ἰσχύω	G2480	28	
2941	κώμη	G2968	28	
3339	μυστήριον	G3466	28	
3401	νικάω	G3528	28	
4018	πλούσιος	G4145	28	
4025	πνευματικός	G4152	28	
4268	προφητεύω	G4395	28	
4470	σής	G4597	28	
4928	τελέω	G5055	28	
1627	ἐλεέω	G1653	28	KJV
2364	ἰάομαι	G2390	28	KJV
915	βαστάζω	G941	27	
1538	ἐκεῖθεν	G1564	27	
1606	ἐκχέω	G1632	27	
1630	ἔλεος	G1656	27	
1720	ἐνδύω	G1746	27	
2358	Ἰακώβ	G2384	27	
2487	καθαρός	G2513	27	
2647	καταργέω	G2673	27	
2890	κρίμα	G2917	27	
3110	Μαρία	G3137	27	
4087	πόσος	G4214	27	
4589	σταυρός	G4716	27	
53	ἀδελφή	G79	26	
575	ἀποκαλύπτω	G601	26	
746	ἀσθενής	G772	26	
1372	δουλεύω	G1398	26	
1867	ἐπεί	G1893	26	
2214	ἥκω	G2240	26	
3049	λυπέω	G3076	26	
3543	ὁμολογέω	G3670	26	
3641	οὔπω	G3768	26	
4630	στρατιώτης	G4757	26	
5299	φρονέω	G5426	26	
67	ἀδικία	G93	25	
99	Αἴγυπτος	G125	25	
282	ἀναβλέπω	G308	25	
311	ἀναιρέω	G337	25	
542	ἀπέχω	G568	25	
1081	γνωρίζω	G1107	25	
1150	δέκα	G1176	25	
1160	δένδρον	G1186	25	
1646	Ἕλλην	G1672	25	
1833	ἑορτή	G1859	25	
2726	κελεύω	G2753	25	
2995	λευκός	G3022	25	
3102	μανθάνω	G3129	25	
3252	μήποτε	G3379	25	
3380	νεφέλη	G3507	25	
3791	πάρειμι	G3918	25	
4075	πορνεία	G4202	25	
4793	συνίημι	G4920	25	
5241	φιλέω	G5368	25	
201	ἀληθής	G227	25	KJV
5001	τούτους	G5128	25	KJV
5376	χήρα	G5503	25	KJV
163	ἀκοή	G189	24	
743	ἀσθένεια	G769	24	
766	ἀστήρ	G792	24	
1966	ἐπιστολή	G1992	24	
2615	καταλείπω	G2641	24	
2722	κεῖμαι	G2749	24	
3374	νέος	G3501	24	
3436	νοῦς	G3563	24	
3689	παῖς	G3816	24	
3825	παρουσία	G3952	24	
4210	προσέχω	G4337	24	
4863	σωτήρ	G4990	24	
4968	Τιμόθεος	G5095	24	
4003	πλήθω	G4130	24	KJV
264	ἀμπελών	G290	23	
295	ἀνάγω	G321	23	
545	ἄπιστος	G571	23	
811	αὐξάνω	G837	23	
1334	διότι	G1360	23	
1478	εἰκών	G1504	23	
1632	ἐλεύθερος	G1658	23	
2200	ζῷον	G2226	23	
2353	θυσιαστήριον	G2379	23	
2460	ἰχθύς	G2486	23	
2696	κατηγορέω	G2723	23	
2845	κοπιάω	G2872	23	
2846	κόπος	G2873	23	
2940	κωλύω	G2967	23	
3276	μιμνῄσκομαι	G3403	23	
3856	πεινάω	G3983	23	
3881	πέραν	G4008|G4007	23	
3889	περιβάλλω	G4016	23	
4505	σκεῦος	G4632	23	
4921	τελειόω	G5048	23	
5356	χαρίζομαι	G5483	23	
5378	χιλιάς	G5505	23	
4547	σός	G4674	23	KJV
24	ἀγνοέω	G50	22	
447	ἀντί	G473	22	
496	ἀπαίρω	G522	22	
1101	γρηγορέω	G1127	22	
1355	δοκιμάζω	G1381	22	
1560	ἐκλέγομαι	G1586	22	
1562	ἐκλεκτός	G1588	22	
2242	Ἠσαΐας	G2268	22	
2274	θεάομαι	G2300	22	
2492	καθεύδω	G2518	22	
2522	κἀκεῖνος	G2548	22	
2690	κατεργάζομαι	G2716	22	
2809	κοιλία	G2836	22	
3082	Μακεδονία	G3109	22	
3214	μετάνοια	G3341	22	
3244	μηκέτι	G3371	22	
4000	πληγή	G4127	22	
4022	πλοῦτος	G4149	22	
4326	πωλέω	G4453	22	
4355	ῥέω	G4482	22	
4356	ῥέω	G4483	22	
4765	συνέδριον	G4892	22	
4935	τεσσαράκοντα	G5062	22	
5092	ὑπακούω	G5219	22	
910	βασιλεύω	G936	21	
1293	διδασκαλία	G1319	21	
1728	ἐνεργέω	G1754	21	
2080	εὐδοκέω	G2106	21	
2160	ἐφίστημι	G2186	21	
2299	θερίζω	G2325	21	
2499	καθίστημι	G2525	21	
2973	λατρεύω	G3000	21	
3294	μνημονεύω	G3421	21	
3859	πειρασμός	G3986	21	
4635	στρέφω	G4762	21	
4930	τελώνης	G5057	21	
4964	τιμάω	G5091	21	
5191	φανερός	G5318	21	
5379	χιλίαρχος	G5506	21	
5489	ὡσεί	G5616	21	
3288	μνάομαι	G3415	21	KJV
130	αἰτία	G156	20	
177	ἀκροβυστία	G203	20	
668	ἀργύριον	G694	20	
1059	γένος	G1085	20	
1092	γονεύς	G1118	20	
1896	ἐπίγνωσις	G1922	20	
2206	ἡγεμών	G2232	20	
2438	Ἰσαάκ	G2464	20	
3395	νηστεύω	G3522	20	
3427	νόσος	G3554	20	
3443	νυνί	G3570	20	
3459	ξύλον	G3586	20	
3690	παίω	G3817	20	
4127	προάγω	G4254	20	
4506	σκηνή	G4633	20	
4553	σοφός	G4680	20	
4991	τοσοῦτος	G5118	20	
5016	τρέχω	G5143	20	
5130	ὑπηρέτης	G5257	20	
5185	ὑψόω	G5312	20	
882	βάπτισμα	G908	19	
1036	γάμος	G1062	19	
1066	γεωργός	G1092	19	
1226	διακρίνω	G1252	19	
1409	δῶρον	G1435	19	
1857	ἐπάνω	G1883	19	
1923	ἐπιλαμβάνομαι	G1949	19	
2006	ἐπουράνιος	G2032	19	
2729	κενός	G2756	19	
2815	κοινωνία	G2842	19	
2882	κρείττων	G2909	19	
2896	κριτής	G2923	19	
2910	κτίσις	G2937	19	
3115	μαρτύριον	G3142	19	
3182	μεριμνάω	G3309	19	
3693	παλαιός	G3820	19	
3773	παράπτωμα	G3900	19	
3781	παρατίθημι	G3908	19	
4092	πότε	G4219	19	
4267	προφητεία	G4394	19	
4919	τέλειος	G5046	19	
5472	ὦ	G5599	19	
5473	ὦ	G5600	19	
1843	ἐπαίρω	G1869	19	KJV
4998	τούτοις	G5125	19	KJV
464	Ἀντιόχεια	G490	18	
576	ἀποκάλυψις	G602	18	
658	ἀπώλεια	G684	18	
680	ἀριθμός	G706	18	
747	Ἀσία	G773	18	
962	βλασφημία	G988	18	
1136	δέησις	G1162	18	
1505	εἰσπορεύομαι	G1531	18	
1885	ἐπιβάλλω	G1911	18	
1984	ἐπιτρέπω	G2010	18	
2346	θυμός	G2372	18	
2579	καταγγέλλω	G2605	18	
2606	κατακρίνω	G2632	18	
2789	κληρονομέω	G2816	18	
2810	κοιμάομαι	G2837	18	
2901	κρύπτω	G2928	18	
3492	οἰκοδομή	G3619	18	
3789	παραχρῆμα	G3916	18	
4039	ποιμήν	G4166	18	
4044	πόλεμος	G4171	18	
4051	πολλάκις	G4178	18	
4242	προστίθημι	G4369	18	
4313	πυλών	G4440	18	
4608	στέφανος	G4735	18	
4961	τίκτω	G5088	18	
5085	ὑμέτερος	G5212	18	
292	ἀνάγκη	G318	17	
674	ἀρέσκω	G700	17	
833	ἄφεσις	G859	17	
1007	βρῶμα	G1033	17	
1514	ἑκατόν	G1540	17	
1517	ἑκατοντάρχης	G1543	17	
1625	ἐλέγχω	G1651	17	
1813	ἐξίστημι	G1839	17	
1861	ἐπαύριον	G1887	17	
2066	ἕτοιμος	G2092	17	
2318	θησαυρός	G2344	17	
2436	ἵππος	G2462	17	
2516	Καισάρεια	G2542	17	
2553	κἄν	G2579	17	
2621	καταλύω	G2647	17	
2695	κατέχω	G2722	17	
2743	κερδαίνω	G2770	17	
2900	κρυπτός	G2927	17	
3233	μέχρι(ς)	G3360	17	
3258	μήτι	G3385	17	
3411	νίπτω	G3538	17	
3932	περιτέμνω	G4059	17	
4011	πλήρωμα	G4138	17	
4012	πλησίον	G4139	17	
4088	ποταμός	G4215	17	
4364	ῥίζα	G4491	17	
4888	ταράσσω	G5015	17	
5146	ὑποκριτής	G5273	17	
5151	ὑπομένω	G5278	17	
5359	χάρισμα	G5486	17	
5488	ὡσαύτως	G5615	17	
88	ἀθετέω	G114	16	
324	ἀνακρίνω	G350	16	
1147	δεῖπνον	G1173	16	
1172	δέσμιος	G1198	16	
1194	δηνάριον	G1220	16	
1234	διαλογίζομαι	G1260	16	
1273	διατάσσω	G1299	16	
1346	διψάω	G1372	16	
1588	ἐκτείνω	G1614	16	
1658	ἐμβαίνω	G1684	16	
1873	ἔπειτα	G1899	16	
1911	ἐπιθυμέω	G1937	16	
1935	ἐπιμένω	G1961	16	
2014	ἐργάτης	G2040	16	
2103	εὐλογία	G2129	16	
2155	Ἔφεσος	G2181	16	
2179	ζῆλος	G2205	16	
2691	κατέρχομαι	G2718	16	
2781	κλείω	G2808	16	
2785	κλέπτης	G2812	16	
3050	λύπη	G3077	16	
3439	νυμφίος	G3566	16	
3636	οὐδέποτε	G3763	16	
3677	πάθημα	G3804	16	
3803	παρέχω	G3930	16	
4007	πλήρης	G4134	16	
4201	προσδοκάω	G4328	16	
4526	σκοτία	G4653	16	
4681	συκῆ	G4808	16	
4688	συλλαμβάνω	G4815	16	
4846	σφραγίς	G4973	16	
4932	τέρας	G5059	16	
4984	τολμάω	G5111	16	
5033	τροφή	G5160	16	
5175	ὑστερέω	G5302	16	
5399	χορτάζω	G5526	16	
494	ἀπάγω	G520	16	KJV
2051	ἔστω	G2077	16	KJV
2558	Καπερναούμ	G2584	16	KJV
432	ἀνομία	G458	15	
592	ἀπολαμβάνω	G618	15	
1063	γεύομαι	G1089	15	
1084	γνωστός	G1110	15	
1105	γυμνός	G1131	15	
1128	Δαμασκός	G1154	15	
1168	δέρω	G1194	15	
1237	διαμαρτύρομαι	G1263	15	
1508	εἶτα	G1534	15	
